Front,Back,Chapter
Two broad instrument buckets under MiFIR?,"Equity (shares, ETFs, depositary receipts, certificates) and Non‑equity (bonds, structured finance products, emission allowances, derivatives).",Chapter 8 – MiFIR
Pre‑trade transparency requirement (equities)?,Publish continuously bid/offer prices and market depth; certain exceptions apply.,Chapter 8 – MiFIR
Who is exempt from certain pre‑trade publication?,Certain non‑financial counterparties (context‑dependent).,Chapter 8 – MiFIR
Name four pre‑trade waivers.,Large‑in‑scale orders; orders held in a venue’s management facility; certain non‑equity derivatives; instruments not traded on RM/MTF/OTF under specific conditions.,Chapter 8 – MiFIR
How far in advance must waiver notifications be sent?,CySEC & ESMA must be notified 4 months before start date.,Chapter 8 – MiFIR
Double‑cap mechanism thresholds?,Per trading venue ≤4% and EU‑wide ≤8% over the last 12 months; exceedance triggers 6‑month suspension of the waiver.,Chapter 8 – MiFIR
Who publishes waiver statistics and when?,"ESMA monthly, within 5 days after month‑end; extra report 5 days after the 15th if thresholds are approached/exceeded.",Chapter 8 – MiFIR
Post‑trade transparency requirements?,"Publish price, volume and time of execution as close to real‑time as technically possible (via APA where relevant).",Chapter 8 – MiFIR
MiFIR transaction reporting deadline and pathways?,"T+1 to CySEC by the CIF, an ARM, or the trading venue.",Chapter 8 – MiFIR
What must CIFs ensure for reporting systems?,"Secure transfer, minimise corruption/unauthorised access, prevent leakage, maintain confidentiality.",Chapter 8 – MiFIR
Eligible venues for derivatives trading?,"RMs, MTFs, OTFs, or EC‑approved third‑country venues on a non‑exclusive, non‑discriminatory basis.",Chapter 8 – MiFIR
Responsibility for clearing derivative transactions?,"Regulated market operator ensures clearing by CCPs; clearing members can be TVs, CCPs, and IFs.",Chapter 8 – MiFIR
Does portfolio compression trigger best execution?,"No. When providing portfolio compression, best execution obligation does not apply.",Chapter 8 – MiFIR
Are compression terminations/replacements subject to trading‑on‑venue?,No. Termination/replacement in compression is not subject to the trading obligation.,Chapter 8 – MiFIR
How are compression transactions published?,Via an APA in near real‑time (volume and time).,Chapter 8 – MiFIR
What is a CTP/APA/ARM in context?,Consolidated Tape Provider / Approved Publication Arrangement / Approved Reporting Mechanism used for transparency and reporting.,Chapter 8 – MiFIR
When do non‑EU venues qualify for trading by EU participants?,"When authorised with effective supervision, clear admission rules, issuer disclosure, and market abuse safeguards.",Chapter 8 – MiFIR
What is the trading obligation for derivatives?,Eligible derivatives must trade on organised venues (RM/MTF/OTF or approved third‑country TVs).,Chapter 8 – MiFIR
When are orders reportable (transmission vs execution)?,"CIFs may report during transmission or upon execution, per MiFIR rules.",Chapter 8 – MiFIR
Decompose Own Funds under CRR.,Own funds = Tier 1 (CET1 + AT1) + Tier 2.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
CET1 typical components?,"Capital instruments, share premium, retained earnings, accumulated OCI, other reserves, funds for general banking risk (available for immediate loss coverage).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
AT1 notable features?,"Perpetual, fully paid, loss‑absorbing; may include call options at issuer’s sole discretion.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Tier 2 examples?,"Capital instruments, subordinated loans, associated share premium; plus certain general credit risk adjustments under standardised/advanced approaches.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Minimum ratios (Pillar 1)?,CET1 4.5%; Tier 1 6%; Total Capital 8% of Total Risk Exposure Amount.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Capital conservation buffer?,Up to 2.5% of total risk exposure in addition to minimums.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Define Total Risk Exposure Amount (TREA).,Risk‑weighted exposures + (Own funds requirements × 12.5).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Which risks drive RWEA and OFR?,"RWEA: credit & dilution, counterparty credit; OFR×12.5: operational, market (FX, settlement, commodities), trading book/large exposures, CVA.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Large exposure limit to one client/group?,Net exposure ≤25% of eligible capital (or €150m where relevant).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Examples of exposures exempted from limits?,Covered bonds; exposures to parent/own subsidiaries; claims on local authorities (per CySEC allowances).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Equivalent third countries (examples)?,"Australia, Canada, Japan, Switzerland, USA, Russia.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
ICAAP key principles?,"Board responsibility; design/implementation; regular (≥ annually), comprehensive, forward‑looking (3–5y); measurement/assessment, documented outcomes.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
SREP five stages?,Planning; ICAAP review/assessment; review of additional info; supervisory risk‑mitigation measures; validation.,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Risk Register purpose?,Categorise risks by probability and impact (financial/qualitative).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: sensitivity analysis defined.,Change one risk factor at a time to assess impact (easy magnitude assessment; unrealistic isolation).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: scenario analysis defined.,Simultaneous change of several factors (integrated view; relationships may be unstable).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: reverse stress testing defined.,Identify scenarios that make the business model unviable (exposes vulnerabilities).,Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress test governance?,"Tailored to portfolio and environment, reviewed annually/when risk factors change, forward‑looking, with defined management actions and ownership.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Who appoints/removes the Risk Manager?,"The Board of Directors; for significant CIFs, Risk Committee members are non‑executive.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Disclosure: country‑by‑country reporting includes what?,"Name, activities, location, turnover, employees, P&L before tax, tax on P&L.",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Core EMIR objectives (2012)?,"Increase transparency in derivatives, mitigate counterparty credit risk, and reduce operational risk.",Chapter 10 – EMIR
Who reports derivatives to TRs?,All counterparties; CCPs/TRs under ESMA supervision for accreditation/withdrawal.,Chapter 10 – EMIR
Two approaches to clearing obligation?,Bottom‑up (EU counterparties to OTC classes) and top‑down (ESMA identifies classes lacking CCP authorisation).,Chapter 10 – EMIR
Which entities may be exempt from central clearing?,Intragroup transactions and pension funds under certain conditions.,Chapter 10 – EMIR
Who must notify when thresholds are exceeded?,FCs/NFCs must notify ESMA and their competent authority when above clearing thresholds.,Chapter 10 – EMIR
When can clearing apply to third‑country counterparties?,"Where there is a direct, substantial and foreseeable effect in the EU (including two non‑EU entities).",Chapter 10 – EMIR
What changed under EMIR Refit (Dec 2019)?,CCPs provide initial margin simulation tools to members; insolvency laws shall not prevent certain CCP actions.,Chapter 10 – EMIR
Who is responsible for reporting from June 2020 under Refit?,FC reports for itself and for NFC‑ (not subject to clearing); UCITS management company reports for UCITS; AIFM for AIFs.,Chapter 10 – EMIR
Name four risk‑mitigation techniques for non‑cleared OTCs.,Timely confirmation; portfolio reconciliation; portfolio compression; dispute resolution; collateral exchange.,Chapter 10 – EMIR
Collateral exchange requirements?,Initial and variation margin; sufficiently diversified collateral; segregation and robust operational procedures.,Chapter 10 – EMIR
Are intragroup OTCs exempt from collateral?,"Yes, within the EU under conditions.",Chapter 10 – EMIR
Minimum capital for CCPs?,"€7.5 million, proportionate to risks and to enable orderly wind‑down/restructuring.",Chapter 10 – EMIR
Large exposures and CCPs under CRR?,CCPs are exempt from large exposure requirements.,Chapter 10 – EMIR
Liquidity expectations for CCPs?,Access to central bank or creditworthy bank liquidity; measure exposures to members; non‑discriminatory pricing; daily potential liquidity needs.,Chapter 10 – EMIR
Single clearing member credit line limit?,A clearing member should not provide >25% of a CCP’s credit needs.,Chapter 10 – EMIR
Macroprudential angle of margins/haircuts?,They can be procyclical—fall in good times (build‑up of leverage) and rise in stress (margin calls trigger deleveraging).,Chapter 10 – EMIR
Disclosure by CCPs/clearing members?,Publicly disclose prices/fees incl. discounts; report costs/revenues to CySEC; disclose risks to members/clients.,Chapter 10 – EMIR
When can breaches be kept non‑public?,If CySEC/ESMA deem disclosure a threat to financial stability/market confidence or causes disproportionate damage.,Chapter 10 – EMIR
"Define TR, CCP, FC, NFC.",Trade Repository; Central Counterparty; Financial Counterparty; Non‑Financial Counterparty.,Chapter 10 – EMIR
What is T+1 in EMIR reporting context?,Reporting of transactions by the next business day.,Chapter 10 – EMIR
Which law frames CIF recovery/resolution?,Law 20(I)/2016 (recovery and resolution for credit institutions and investment firms).,Chapter 11 – Recovery & Resolution
Who prepares a recovery plan for solo CIFs?,Solo CIFs subject to consolidated supervision must maintain recovery plans to restore financial position after deterioration.,Chapter 11 – Recovery & Resolution
Name key sections of a recovery plan.,Summary of key elements and recovery capacity; material changes; capital/liquidity actions; comms & disclosure for market reactions; timeframe; impediments; governance integration; critical functions.,Chapter 11 – Recovery & Resolution
What analysis re marketability must be in the plan?,"Process to determine value/marketability of core business lines, operations and assets; arrangements to conserve/restore own funds and access contingency funding.",Chapter 11 – Recovery & Resolution
What scenarios must plans consider?,Range of scenarios (idiosyncratic/systemic); early intervention options; timely implementation.,Chapter 11 – Recovery & Resolution
Can plans assume extraordinary public support?,No. Recovery plans must not assume access to extraordinary public financial support.,Chapter 11 – Recovery & Resolution
Approval and review cadence?,Management body approves; submit to CySEC; review at least annually and after material legal/organisational changes.,Chapter 11 – Recovery & Resolution
When is a CIF ‘significant’ for recovery planning?,Assets ≥ €30bn or ≥20% of MS GDP (unless total assets ≤ €5bn).,Chapter 11 – Recovery & Resolution
Group recovery requirements?,Parent under consolidated supervision provides a group recovery plan and for each subsidiary; intra‑group financial support permitted via agreements.,Chapter 11 – Recovery & Resolution
Intra‑group support agreement principles?,Voluntary; each party acts in own best interest; full disclosure to provider; inside information considerations; consideration ignores temporary market price impacts.,Chapter 11 – Recovery & Resolution
Early intervention common triggers?,"Own funds breach risk from deteriorating capital/liquidity, leverage, NPLs, concentration. Often own funds +1.5% trigger used.",Chapter 11 – Recovery & Resolution
Early intervention measures CySEC can require?,Update plan; action plan with timetable; convene shareholders; replace management; debt restructuring plan; strategy/legal/operational changes; on‑site inspections.,Chapter 11 – Recovery & Resolution
Types of administrators and term?,Special or temporary administrators; appointed up to 1 year; remuneration borne by the CIF.,Chapter 11 – Recovery & Resolution
Special administrator powers (examples)?,Increase capital; reorganise ownership; restrict operations; revise policies; restrict/forbid transactions; remove management; require prudential liquidity/capital; facilitate takeovers.,Chapter 11 – Recovery & Resolution
Administrator reporting timeline?,"Full report to resolution authority within 30 days (updated balance sheet, assessment, asset list by risk).",Chapter 11 – Recovery & Resolution
Resolution authority and tools?,"CBC is the resolution authority; tools: sale of business; bridge institution/asset separation; asset management company; bail‑in; write‑down/conversion (CET1, AT1, T2).",Chapter 11 – Recovery & Resolution
Resolution of CIFs: role of CySEC?,CySEC checks acquirer authorisation; may allow a bridge institution temporarily without full investment services compliance; insolvency via Companies Law for unsecured claims.,Chapter 11 – Recovery & Resolution
Procedural notifications when a CIF is failing?,"Notify resolution and competent authorities, CBC/central bank, deposit guarantee scheme, resolution financing body, group‑level authority, relevant ministry, consolidating supervisor, ESRB.",Chapter 11 – Recovery & Resolution
Cross‑border group resolution cooperation?,CySEC coordinates info exchange and public comms on group strategies; participates in resolution college with CBC; can enter cooperation MoUs incl. third‑country authorities.,Chapter 11 – Recovery & Resolution
What must cooperation agreements cover?,Sharing info; resolution planning; resolvability assessments; removing impediments; early intervention; application of resolution powers.,Chapter 11 – Recovery & Resolution
Which Regulation governs prospectuses?,"Regulation (EU) 2017/1129 on the preparation, approval and distribution of prospectuses.",Chapter 12 – Prospectus Regulation
Which national law supports offers to the public?,Law 114(I)/2005 sets conditions for offers to the public and prospectuses for offers/admissions to trading.,Chapter 12 – Prospectus Regulation
Is a public offer/admission allowed without a prospectus?,"No, unless an exemption applies; otherwise prior publication of a prospectus is required.",Chapter 12 – Prospectus Regulation
Name three exemptions where the Regulation does not apply.,"Units in open‑ended funds (UCITS); certain non‑equity issued/guaranteed by MS/public bodies/ECB/central banks; non‑fungible shares giving right to occupy immovable property; small offers ≤ €1,000,000 in 12 months.",Chapter 12 – Prospectus Regulation
What sections must a prospectus summary contain?,Introduction with warning; key info on issuer; key info on securities; key info on offer/admission.,Chapter 12 – Prospectus Regulation
Style requirements for the summary?,"Accurate, fair, clear, not misleading; short, easy to read, clear non‑technical language and readable characters.",Chapter 12 – Prospectus Regulation
What is a base prospectus?,For non‑equity securities: contains necessary info; includes a ‘form of final terms’ and website address for publication; can be single or separate documents.,Chapter 12 – Prospectus Regulation
How long is a prospectus valid?,12 months after approval (separate‑document prospectus counted from approval of the securities note).,Chapter 12 – Prospectus Regulation
What is the EU Growth prospectus?,"Proportionate disclosure regime for SMEs and certain issuers/offerors (e.g., offers ≤ €20m; SME growth market capitalisation thresholds; specific format/simple language).",Chapter 12 – Prospectus Regulation
Who can use the simplified prospectus?,Issuers/offerors with securities admitted to trading for ≥18 months (or ≥2 years on an SME market seeking RM admission) for fungible or non‑equity issues.,Chapter 12 – Prospectus Regulation
What are the prospectus signatories and liability?,Issuer/offeror/applicant (or representative) sign; claims against signatories can be brought within 2 years from availability of securities.,Chapter 12 – Prospectus Regulation
Who is the competent authority in Cyprus?,CySEC supervises and implements the prospectus regulation; approves within 10 working days; ESMA notified within 1 working day.,Chapter 12 – Prospectus Regulation
Language and fees?,Law enacts obligations on language used and fees charged by the supervisory authority.,Chapter 12 – Prospectus Regulation
Are summaries always required?,"Not for non‑equity prospectuses traded only on regulated markets with denomination ≥ €100,000.",Chapter 12 – Prospectus Regulation
What must financial information in a prospectus cover?,"Issuer assets/liabilities, P&L, financial position, prospects; security rights; reasons for issuance (per recap).",Chapter 12 – Prospectus Regulation
How are whistleblowers protected?,"CA must provide secure reporting channels, protect whistleblowers and reported persons, and may offer financial incentives; publish administrative sanctions on the CA website.",Chapter 12 – Prospectus Regulation
Minimum maximum fines for infringements?,"At least €700,000 for natural persons and €5,000,000 or 3% of annual turnover for legal persons (per slides).",Chapter 12 – Prospectus Regulation
Voluntary prospectus cases?,"Where security type is exempt or obligation is waived, a prospectus may still be drawn voluntarily.",Chapter 12 – Prospectus Regulation
What documents can form the prospectus?,"Registration document, securities note, and summary (separate documents permitted).",Chapter 12 – Prospectus Regulation
Validity of base prospectus and final terms?,Base prospectus valid 12 months; final terms published at the stated website address.,Chapter 12 – Prospectus Regulation
Which issuers are in scope of transparency rules?,Issuers with securities admitted to trading on a regulated market (Laws 2007–2017).,Chapter 13 – Transparency Laws
Who is responsible for periodic information?,"Issuer’s administrative, management and supervisory bodies.",Chapter 13 – Transparency Laws
Annual report timing and content?,Publish within 4 months of year end; includes audited FS and management report; public for ≥10 years; statements by BoD/CEO/CFO.,Chapter 13 – Transparency Laws
Half‑year report timing and content?,"Publish within 3 months of period end; public for ≥10 years; if unaudited, disclose that fact.",Chapter 13 – Transparency Laws
Interim management report must include?,Detailed economic analysis; extraordinary items; comparative analysis; key events in first 6 months; principal risks for next 6 months; info affecting P&L; related‑party transactions for share issuers.,Chapter 13 – Transparency Laws
Examples of publication exemptions?,"MS governments/authorities, ECB/CBC/EFSF, and issuers of debt with denominations ≥ €100,000 (or ≥ €50,000 if admitted before 31 Dec 2010).",Chapter 13 – Transparency Laws
Can issuers use electronic communication to holders?,"Yes, regardless of location/residence; with identification arrangements, holder consent, and issuer‑set costs.",Chapter 13 – Transparency Laws
Where may a debt‑holder meeting be held for large denominations?,"Any Member State if invitations are sent to debt holders with per‑unit value ≥ €100,000 (or ≥ €50,000 if admitted before 31 Dec 2010).",Chapter 13 – Transparency Laws
When does a person become a shareholder for notification?,When they acquire shares with attached voting rights.,Chapter 13 – Transparency Laws
Which voting thresholds trigger notifications?,"Reaching/crossing 5%, 10%, 15%, 20%, 25%, 30%, 50%, or 75% (upwards or downwards).",Chapter 13 – Transparency Laws
Name situations requiring aggregation for notifications.,Common policy agreements; temporary transfer of voting rights; collateral where control and intention to exercise exist; life interest; deposits with discretionary voting; third‑party holdings on behalf; proxies without instructions.,Chapter 13 – Transparency Laws
Are initial and subsequent transactions notifiable?,Yes—both initial holdings and subsequent changes must be notified to issuer and CySEC.,Chapter 13 – Transparency Laws
Exemptions from shareholder notification (examples)?,Clearing/settlement within 3 business days; custodians (capacity‑based) without discretion; market makers up to 5%; trading book holdings up to 5%; ESCB holdings; stabilisation activities.,Chapter 13 – Transparency Laws
How are fines structured for non‑disclosure of voting changes?,"Up to €85k, or up to €170k for repeated infringements (per recap).",Chapter 13 – Transparency Laws
What are maximum general fines under transparency laws?,"Up to twice the infringement; legal up to €10m, natural up to €2m (per recap).",Chapter 13 – Transparency Laws
What record‑keeping is needed for electronic comms?,Identification/record‑keeping arrangements and holder consent retained; issuer defines any costs.,Chapter 13 – Transparency Laws
Do thresholds apply even if rights are suspended?,Yes—voting rights are calculated on all shares even if exercise is suspended.,Chapter 13 – Transparency Laws
How long must reports remain publicly available?,At least 10 years.,Chapter 13 – Transparency Laws
Who must be clearly identified in the periodic reports?,"BoD, CEO, and CFO names/functions with their statements.",Chapter 13 – Transparency Laws
Does non‑intervention in management affect notification?,Voting rights held but not exercised to intervene may affect how obligations are interpreted (per slides’ note).,Chapter 13 – Transparency Laws
Which Regulation governs market abuse?,EU Regulation 596/2014 (MAR).,Chapter 14 – Market Abuse
Define inside information.,"Information of a precise nature, non‑public, relating to issuers or instruments, which would likely have a significant price effect if made public.",Chapter 14 – Market Abuse
Is possession of inside information itself a violation?,No. The violation is using it (insider dealing) or unlawfully disclosing it.,Chapter 14 – Market Abuse
What is market sounding?,Pre‑announcement communication to gauge investor interest; ceases to be inside information when handled per MAR and disclosures.,Chapter 14 – Market Abuse
Consent and confidentiality for market sounding?,Obtain recipient consent and inform them to keep the information confidential; keep records for 5 years.,Chapter 14 – Market Abuse
Who must maintain insider lists?,"Issuers with instruments on RMs/MTFs/OTFs (exemption for SME Growth Market instruments); include advisors, auditors, CRAs, etc.",Chapter 14 – Market Abuse
What must an insider list include?,Identity; reason for inclusion; date/time access obtained; date/time of list updates.,Chapter 14 – Market Abuse
Managers’ transactions notification deadline?,"Notify competent authority ASAP and no later than 3 business days after the transaction; thresholds e.g., > €5,000 (may rise to €20,000).",Chapter 14 – Market Abuse
Closed periods for PDMRs?,No transactions prior to announcement of interim or year‑end reports.,Chapter 14 – Market Abuse
Define market manipulation.,Disseminating false/misleading information or other practices giving misleading signals about supply/demand or securing abnormal/artificial prices.,Chapter 14 – Market Abuse
What systems must firms have to prevent/detect abuse?,Arrangements/procedures to detect/report (attempted) insider dealing or manipulation; report suspicious orders/transactions immediately to CA.,Chapter 14 – Market Abuse
Accepted Market Practices—key criteria?,Transparency; safeguards for market forces; positive liquidity/efficiency impact; account for market mechanisms; avoid risks to integrity; not infringe abuse rules or codes.,Chapter 14 – Market Abuse
Investment recommendations—disclosure duty?,Ensure objective presentation and disclose all interests/conflicts unless disclosure would itself mislead/abuse the market.,Chapter 14 – Market Abuse
Examples of administrative measures for infringements?,Cease/refrain orders; disgorgement of profits; public warning; licence withdrawal/suspension; temporary/permanent bans for responsible persons.,Chapter 14 – Market Abuse
Max pecuniary sanctions (insider dealing/manipulation)?,"Natural: up to €5,000,000; Legal: up to €15,000,000 or 15% of total annual turnover.",Chapter 14 – Market Abuse
Max sanctions for prevention/disclosure failures?,"Natural: up to €1,000,000; Legal: up to €2,500,000 or 2% of total annual turnover.",Chapter 14 – Market Abuse
Max sanctions for insider lists/managers’ transactions/recommendations?,"Natural: up to €500,000; Legal: up to €1,000,000.",Chapter 14 – Market Abuse
